╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
днк╤░╧,л╪кл,╖sе_елднк╤░╧дн║╓╕Ї100л╤1~30╕╣,0.0,,,,1051025,дgжa0л╪кл1иожь1,дK╝h,дE╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050830,302.16999999999996,4,2,3,ж│,ж│,10651040,35249,йY╣Dенн▒,0.0,0,,RPVSMLKLKHMFFBF48CA
кO╛Ї░╧,й╨жa(дgжa+л╪кл),╖sе_елкO╛Ї░╧дхд╞╕ЇдGмq125л╤1~30╕╣,34.75,жэ,,,1051201,дgжa1л╪кл1иожь0,дT╝h,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0620821,98.49,3,2,1,ж│,╡L,9900000,100518,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPRQMLKLLHMFFAF87CA
╖sй▒░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел╖sй▒░╧╡╪л░дG╕Ї2л╤8з╦1~30╕╣,257.13,жэ,,,1060201,дgжa1л╪кл1иожь1,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0710707,170.24,4,2,3,ж│,ж│,19880000,116776,ифеL,0.0,0,,RPVQMLTLOHMFFCF07CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧дT╝w╡є1~30╕╣,0.0,,,,1060219,дgжa0л╪кл1иожь1,дQ╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1021121,187.16000000000003,3,2,2,ж│,ж│,6000000,32058,йY╣Dенн▒,0.0,0,1.л╪░╙╗PжaеDжXл╪о╫бC2.е╗о╫╢╚╢R╜цй╨л╬д╬иожьл╪кл│бд└бAи├╡L╢R╜цдgжaл∙д└бC,RPVNMLMLLHMFFGF98EA
дTнл░╧,л╪кл,╖sе_елдTнл░╧дT╝w╡є1~30╕╣,0.0,,,,1060219,дgжa0л╪кл1иожь1,дQ╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1021121,188.46,3,2,2,ж│,ж│,6000000,31837,йY╣Dенн▒,0.0,0,1.л╪░╙╗PжaеDжXл╪о╫бC2.е╗о╫╢╚╢R╜цй╨л╬д╬иожьл╪кл│бд└бAи├╡L╢R╜цдgжaл∙д└бC,SPVNMLMLLHMFFGF09EA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї91~120╕╣,0.0,,,,1060222,дgжa0л╪кл1иожь1,дQд@╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,230.82999999999998,4,2,2,ж│,ж│,8650000,37473,йY╣Dенн▒,30.0,0,л╪░╙╗PжaеDжXл╪о╫бC,RPWNMLSLLHMFFGF86CA
кўдs░╧,й╨жa(дgжa+л╪кл),╖sе_елкўдs░╧дп╖R╕Ї78л╤1~30╕╣,22.4,жэ,,,1060201,дgжa2л╪кл1иожь0,е|╝h,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0690920,75.94,3,1,1,ж│,╡L,1400000,18436,,0.0,0,1.┐╦д═пSоэ├ЎлY╢бдзецйЎбC2.┤┌╢╡дфеIдшжбм░д└┤┴еI┤┌бC,RPQNMLOJPHMFFDF58EA
е█к∙░╧,дgжa,└Y│ЄмqдUн√з|дpмq31~60жa╕╣,784.0,╣A,,,1060324,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11500000,14668,,0.0,0,,RPWOMLMKMHMFFEF98EA
кO╛Ї░╧,й╨жa(дgжa+л╪кл),╖sе_елкO╛Ї░╧╣┤ддд@╡є102л╤7з╦1~30╕╣,22.58,жэ,,,1060301,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,,79.32,3,1,1,ж│,╡L,6100000,76904,,0.0,0,,RPUQMLOJPHMFFAF98EA
╖s▓°░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖s▓°░╧╖s▓°╕Ї421~450╕╣,68.6,░╙,,,1060225,дgжa3л╪кл2иожь0,е|╝hбA╢зеx,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,,235.33,7,4,5,ж│,╡L,13500000,57366,,0.0,0,,RPWPMLNKMHMFFBF68CA
дgл░░╧,й╨жa(дgжa+л╪кл),╖sе_елдgл░░╧е├жw╡є31~60╕╣,18.76,жэ,,,1060301,дgжa1л╪кл1иожь0,дQдG╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0820427,94.58999999999999,2,1,1,ж│,ж│,10000000,105719,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604150001,RPPRMLKMOHMFFAF38EA
дTнл░╧,й╨жa(дgжa+л╪кл),╖sе_елдTнл░╧║╓╕╬╡є121~150╕╣,16.8,░╙,,,1060201,дgжa3л╪кл1иожь0,е|╝h,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0600226,55.94,7,1,7,ж│,╡L,8250000,147479,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPROMLOJPHMFFGF09EA
ддйM░╧,й╨жa(дgжa+л╪кл),╖sе_елддйM░╧┤║ен╕Ї736л╤3з╦1~30╕╣,29.37,жэ,,,1060224,дgжa2л╪кл1иожь0,дн╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0740206,93.08,6,4,3,ж│,╡L,15000000,161152,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPOPMLNKMHMFFHF48CA
╖s▓°░╧,л╪кл,╖sе_ел╖s▓°░╧дд┤ф╕Ї132л╤1~30╕╣,0.0,,,,1060221,дgжa0л╪кл1иожь2,дQе|╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060105,338.57,4,2,3,ж│,ж│,16920000,55663,йY╣Dенн▒,60.47,1440000,,RPRNMLSKMHMFFBF48CA
╖s▓°░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖s▓°░╧ж█▒j╡є70л╤7з╦1~30╕╣,10.27,жэ,,,1060311,дgжa1л╪кл1иожь0,дT╝hбA╢зеx,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0640926,33.0,2,1,1,ж│,╡L,3600000,109091,,0.0,0,,RPSQMLQLMHMFFBF78CA
е█к∙░╧,дgжa,└Y│Ємqоrдl╕}дpмq91~120жa╕╣,396.0,╣A,,,1040401,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4900000,12374,,0.0,0,,RPRPMLLKPHMFFEF58CA
╖s▓°░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖s▓°░╧л╪жw╡є41л╤1~30╕╣,7.06,жэ,,,1060326,дgжa1л╪кл1иожь0,д@╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040527,43.480000000000004,0,0,1,╡L,╡L,6500000,149494,,0.0,0,,RPUTMLPJNHMFFBF09CA
дgл░░╧,дgжa,мaкLмq991~1020жa╕╣,395.14,,пSйw▒Mе╬░╧,╣Aкке╬жa,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13000000,32900,,0.0,0,"зtе╝лOжs╡n░Oл╪кл,║M╛Pнье╙│°о╤з╟╕╣A3FA10604240028",RPRNMLKKPHMFFAF08EA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028,RPOPMLPJPHMFFAF18CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@13дHбAе╗ецйЎ╝╨к║┼vзQдHм░2дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060324,SPOPMLPJPHMFFAF28CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060326,TPOPMLPJPHMFFAF38CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060321,UPOPMLPJPHMFFAF48CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060325,VPOPMLPJPHMFFAF58CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060326,WPOPMLPJPHMFFAF68CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060326,XPOPMLPJPHMFFAF78CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060326,YPOPMLPJPHMFFAF88CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060321,ZPOPMLPJPHMFFAF98CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060322,QQOPMLPJPHMFFAF18CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060322,RQOPMLPJPHMFFAF28CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060316,SQOPMLPJPHMFFAF38CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдH13дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10604240013бBA3FA10605250028бCе┐╜TецйЎдщ┤┴м░1060408,TQOPMLPJPHMFFAF48CA
днк╤░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елднк╤░╧к┌мwдG╕Ї121~150╕╣,18.27,жэ,,,1060405,дgжa1л╪кл1иожь1,дC╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050616,120.03999999999999,2,2,1,ж│,ж│,11500000,110680,йY╣Dенн▒,32.4,1800000,,RPPWMLOLMHMFFBF88CA
┼a║q░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел┼a║q░╧е├║╓╡є3л╤1~30╕╣,35.94,жэ,,,1060301,дgжa1л╪кл1иожь1,дн╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0800918,164.85,4,2,2,ж│,ж│,8350000,50652,йY╣Dенн▒,0.0,0,,RPQNMLQJPHMFFIF66EA
┼a║q░╧,дgжa,╗ё╗ямq181~210жa╕╣,2.76,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,334000,121014,,0.0,0,,RPPNMLLKPHMFFIF78EA
─кмw░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел─кмw░╧е┐йM╡є91~120╕╣,19.94,жэ,,,1060401,дgжa1л╪кл1иожь1,дQ╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051111,105.35,2,2,1,ж│,ж│,12760000,119328,д╔н░╛ў▒ё,10.15,1400000,,RPTNMLOJPHMFFGF56EA
─кмw░╧,й╨жa(дgжa+л╪кл),╖sе_ел─кмw░╧е┐йM╡є91~120╕╣,27.17,жэ,,,1060401,дgжa1л╪кл1иожь0,д╗╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051111,131.79,2,2,1,ж│,ж│,17580000,133394,,0.0,0,,RPVNMLOJPHMFFGF76EA
кLдf░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елкLдf░╧дп╖R╕Їд@мq331~360╕╣,33.01,░╙,,,1060401,дgжa1л╪кл1иожь1,д╗╝h,дQ╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1010717,244.14,3,2,2,ж│,ж│,18500000,75776,йY╣Dенн▒,0.0,0,,RPPSMLOJPHMFFBF68DA
ддйM░╧,й╨жa(дgжa+л╪кл),╖sе_елддйM░╧│sл░╕Ї469л╤7з╦1~30╕╣,52.68,жэ,,,1060107,дgжa2л╪кл2иожь0,дн╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0750125,206.02,7,3,4,ж│,ж│,13960000,67760,,0.0,0,│╗╝╙╝Wл╪бA╢зеxе~▒└бC,RPWNMLSLMHMFFHF07CA
дTнл░╧,й╨жa(дgжa+л╪кл),╖sе_елдTнл░╧жw╝╓╡є31~60╕╣,18.96,жэ,,,1060401,дgжa1л╪кл1иожь0,е|╝hбA╢зеx,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,е[▒j┐j│y,0641115,51.71,4,2,2,ж│,╡L,7800000,150841,,0.0,0,зt╝Wл╪,RPROMLTLOHMFFGF86CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбA║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016,RPVOMLPJPHMFFAF78CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбA║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016бCе┐╜TецйЎдщ┤┴м░1060325,SPVOMLPJPHMFFAF88CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбA║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016бCе┐╜TецйЎдщ┤┴м░1060401,TPVOMLPJPHMFFAF98CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбA║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016бCе┐╜TецйЎдщ┤┴м░1060403,UPVOMLPJPHMFFAF09CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбAе╗ецйЎ╝╨к║┼vзQдHм░2дHбC║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016бCе┐╜TецйЎдщ┤┴м░1060402,VPVOMLPJPHMFFAF56CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбA║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016бCе┐╜TецйЎдщ┤┴м░1060313,WPVOMLPJPHMFFAF66CA
кO╛Ї░╧,дgжa,дхд╞мq2191~2220жa╕╣,0.3,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,120000,0,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC┼vзQдHж@9дHбA║M╛Pнье╙│°о╤з╟╕╣A1FA10605220028бBA3FA10606020016бCе┐╜TецйЎдщ┤┴м░1060319,XPVOMLPJPHMFFAF76CA
